rec_id,given_name,surname,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
rec-1387-org,,kempton,homburg street,yellow dam,blacktown,3122,vic,19021108.0,8283089
rec-1093-org,dylan,wilkins,denovan circuit,two tree hill,brighton-le-sands,2320,nsw,,8735875
rec-1518-org,sienna,slape,rene street,,burleigh waters,4034,vic,19400331.0,7340083
rec-718-org,madison,maynard,holmes crescent,glenview,embleton,2154,nsw,19400506.0,3031454
rec-285-org,byron,wisowaty,pera place,john flynn medical centre,caulfield,6101,,19320304.0,8901022
rec-1590-org,jack,mcneeley,keverstone circuit,royal queensland yacht squadron,brighton-le-sands,4702,wa,19880329.0,1834993
rec-1996-org,grace,timmermans,cussen street,hallsville,preston,2251,wa,19501207.0,6702521
rec-1183-org,isaac,clarke,armytage circuit,oaklands village,annangrove,3636,vic,19570425.0,9451125
rec-1140-org,lara,chandler,dempster place,henry kendall bayside,kingaroy,2219,nsw,19360624.0,3577228
rec-571-org,oliver,cureton,drevermann street,burraminga,toronto,3149,qld,19920126.0,9218356
rec-421-org,charlie,ebert,brewster place,summerdale medical centre,frankston,4570,vic,19711020.0,3939901
rec-165-org,hayden,ngai,hinkler street,berajondo,nightcliff,2263,vic,19970624.0,2260097
rec-1617-org,samuel,wasley,earle street,university shores,northbridge,2530,nsw,19461003.0,2561997
rec-203-org,micaela,blackwell,lewin street,rosedina,dulwich hill,4103,nsw,19791204.0,7856388
rec-961-org,callie,bullock,warramoo crescent,kanangra hstl,noble park,2650,tas,19351013.0,6636494
rec-1610-org,sian,beelitz,ashkanasy crescent,miowera,sylvania,5042,nsw,19510904.0,3279804
rec-1487-org,daniel,clarke,goldsborough close,,wilson,2206,wa,19630507.0,9886493
rec-1446-org,riley,faull,turner place,margaret river carvn park,long jetty,2033,nsw,19640728.0,8404785
rec-118-org,riley,wegemer,phillip avenue,walhalla,cremorne,3937,wa,19540621.0,9657253
rec-703-org,emiily,vodden,clement place,arcadia,st johns park,2170,nsw,19811218.0,9588930
rec-1031-org,samantha,sabieray,quandong street,wattle brae,gorokan,4019,wa,19590807.0,2863290
rec-13-org,harrison,paulka,bourne street,tally ho,ballina,3976,vic,19260122.0,4721250
rec-299-org,toby,maczkowiack,kanooka street,carinya vlge,canley vale,3219,nsw,19000328.0,7799632
rec-1442-org,ruby,jeffries,forbes street,underwood,st albans,4165,nsw,19490705.0,8939903
rec-1729-org,eliza,white,summerland circuit,rsd shee oak ridge,thornlie,2345,qld,19420103.0,6353345
rec-438-org,barnaby,egan,britten-jones drive,rawdon,kaleen,4304,vic,19270529.0,6442115
rec-245-org,mackinley,rees,oman place,locn 2192,parmelia,3084,wa,19710708.0,5830377
rec-1347-org,jessica,ryan,mccrae street,cherry haven,junortoun,6065,vic,19980225.0,4602238
rec-306-org,danielle,morrison,london circuit,sec 552,bibra lake,4701,vic,19030709.0,8907802
rec-1346-org,phoebe,pettman-south,kernot street,surfrider carvn park,ballina,3175,vic,19720328.0,9681847
rec-361-org,millane,mccarthy,alfred hill drive,hold fast shores,mortlake,2032,wa,19630818.0,6220857
rec-1177-org,,,amaroo wallaroo road,parkside flats,chester hill,4811,nsw,19250804.0,1323712
rec-818-org,malakai,schoppe,boddington crescent,broadwater caravn park,trafalgar,2747,vic,19141221.0,9890346
rec-1845-org,anastasia,kromwyk,dyson street,,talwood,4115,vic,,8198114
rec-1334-org,jared,wytkin,belfield crescent,rowethorpe,bundaberg,5081,,19831025.0,2988806
rec-1815-org,sophie,lovelock,calder crescent,,pitt town,3810,nsw,19470413.0,1321061
rec-144-org,joshua,eyles,harcourt street,belmore river,underdale,2112,vic,19861219.0,1761692
rec-853-org,alexandra,heron,tullaroop street,vinery,elsternwick,6208,nsw,19400609.0,9873657
rec-1109-org,harrison,schumann,monaro crescent,donnelly rvr villg,oakleigh,2280,nsw,19991013.0,9551413
rec-362-org,anika,spicer,melrose drive,rmbe 770,view bank,2067,nsw,19861012.0,1434508
rec-1835-org,liam,kothe,beaurepaire crescent,,allawah,4570,qld,19740720.0,6657084
rec-899-org,pia,campbell,euree street,ursula,corowa,3199,vic,19150704.0,7029505
rec-550-org,lucinda,mcneill,ashburton circuit,malekula,vaucluse,3223,qld,19090228.0,4364711
rec-1407-org,olivia,wheatley,crisp circuit,stanhope sth,lake clarendon,4575,qld,19421007.0,5051083
rec-4-org,lachlan,goldsworthy,ashkanasy crescent,mcivor ridge,rowville,3158,vic,19450818.0,8577437
rec-990-org,andrea,brokenshire,sturdee crescent,,birmingham gardens,2455,nsw,19450619.0,2381532
rec-1570-org,jed,hearn,gairdner circuit,hd curramulka,alice springs,3056,qld,19060312.0,9442649
rec-1799-org,joshua,morrison,beasley street,,tingalpa,5097,vic,19101123.0,1294692
rec-750-org,olivia,philps,ennor crescent,yarawee,king river,2540,nsw,19770302.0,4412451
rec-247-org,madison,fenwick,terry close,llandina,glenside,4551,sa,19210711.0,9717577
rec-277-org,juliana,petersen,currong street,admiralty quays,glenside,5280,nsw,19610510.0,1726629
rec-960-org,timothy,neville,fihelly street,villa 2,st lucia,3108,wa,19781123.0,1955388
rec-108-org,madison,boxhall,yanda street,kookaburra village,dapto,4703,sa,19170926.0,7262746
rec-1390-org,erin,birchby,burrowes place,elston,creswick,4721,vic,19461022.0,7298611
rec-1548-org,jack,brock,duhig place,,boyanup,2484,nsw,19800422.0,8460078
rec-1452-org,hugo,walkington,oxley street,karoo,oak park,6026,nsw,19150227.0,8296721
rec-1941-org,,whiteley,mcluckie crescent,kintrye,malvern east,4810,vic,19800908.0,2774642
rec-1776-org,cameron,unyland,chewings street,underwood,broken hill,6109,qld,19980904.0,2071902
rec-1399-org,danielle,millar,stanfield close,rosetta village,blackburn north,3102,qld,19991007.0,1611706
rec-1577-org,charlotte,carbone,peppin place,,albury,4559,sa,19171126.0,4856046
rec-250-org,keely,dixon,lacey place,briars meadows,barrington,5087,nsw,19380328.0,5477511
rec-397-org,matthew,brookhouse,goodparla street,timdoolin,highett,2170,nsw,19101115.0,6804612
rec-1425-org,,rundle,eaglemont retreat,laalgarths,prospect,6168,qld,19070103.0,7881088
rec-1481-org,olivia,cecotti,dobell circuit,,cabramatta,6152,vic,19580919.0,6701777
rec-1050-org,jenna,pasalic,tarana street,mallanganee,osborne,4342,vic,19541124.0,7730932
rec-905-org,kylie,koziol,wolff crescent,brentwood vlge,kurrajong heights,3135,vic,19320709.0,9336502
rec-436-org,christopher,behnke,troughton street,,geranium,3496,qld,19080930.0,7045937
rec-762-org,zarlia,lowe,van raalte place,hd blanche sec 28,cabramatta,3192,wa,19730726.0,2720933
rec-111-org,jasmine,morrison,methven place,armidale,point lonsdale,3211,wa,19760810.0,1195414
rec-686-org,toby,garran,mcguiness place,the tops,miami,3125,qld,19520817.0,8221456
rec-1069-org,connor,moerland,arthur circle,red cross units,greenwood,2680,wa,19351222.0,6169516
rec-302-org,amber,white,moodie street,degafelga,eaton,2042,nsw,19120819.0,2839026
rec-704-org,jaxin,helling,donald place,the mount,riverhills,4214,vic,19141026.0,3066240
rec-1641-org,benjamin,presley,namatjira drive,guest village (cnr bullcreek d drive,sunnybank,2320,wa,19831208.0,5671732
rec-292-org,keziah,parr,clift crescent,brookvale,murphys creek,2761,nsw,19550103.0,3697304
rec-268-org,kyle,malin,namadgi circuit,old hillside,mooroolbark,3912,wa,19091113.0,3977557
rec-888-org,oliver,campbell,moon place,,thornbury,4103,vic,19681119.0,8352510
rec-611-org,joshua,clarke,kingsford smith drive,,taigum,6108,vic,19961109.0,1596405
rec-1646-org,grace,futcher,burt street,clear creek,mentone,6023,nsw,19361127.0,2331344
rec-527-org,lucy,shelley,longstaff street,agarabi,dover heights,4152,nsw,19100324.0,4322420
rec-1589-org,jake,burnell,bennelong crescent,greta main,ivanhoe,5066,nsw,19170529.0,9639692
rec-1537-org,chloe,woodmansee,gollan street,ettrick,renown park,4066,nsw,19181016.0,7475748
rec-1320-org,amber,kexel,daintree crescent,,new farm,4061,vic,,9952722
rec-1940-org,emiily,leslie,medley street,tamar arcade,athelstone,4380,sa,19900328.0,5816513
rec-1988-org,george,riddell,knoke avenue,bonnie doon,manly vale,4405,sa,19360413.0,2523840
rec-634-org,hannah,bullock,mcaulay place,wathonga,salt ash,810,vic,19671103.0,9343222
rec-5-org,jackson,prestia,priddle street,mirilla,graceville,3012,qld,19260601.0,5613219
rec-1492-org,eliza,tiffin,brawn place,unt 19a,northbridge,2017,vic,19131019.0,9311089
rec-1308-org,samantha,barol,albermarle place,young retirement village,clayton,3199,sa,19920307.0,9185902
rec-1076-org,sarah,green,kelleway avenue,allandale,marleston,6014,qld,19140908.0,6213427
rec-52-org,charlotte,poyntz,heidelberg street,rainbow ridge,rose bay,2195,sa,19610502.0,4585131
rec-830-org,zachary,rees,hicks street,ferndale,camira,3016,vic,19660116.0,8690395
rec-142-org,trent,miles,ashby circuit,kilnacrott,come by chance,6239,nsw,19711119.0,1065749
rec-1301-org,oliver,durnin,davies place,fairlane estate,paddington,2024,nsw,19380406.0,3903404
rec-585-org,annabel,coleman,thesiger court,,punchbowl,4370,nsw,19621002.0,2453001
rec-11-org,zac,crosswell,robertson street,,mount pleasant,3931,sa,19870929.0,5911092
rec-894-org,silas,laundy,pogney place,cumkillenbar,berwick,2444,qld,19651115.0,4501441
rec-1958-org,lily,lillie-hinrichs,balsillie crescent,brindabella specialist centre,budgong,6164,nsw,19920421.0,5168585
rec-1942-org,meg,velzeboer,kosciusko avenue,homesite 3,labrador,3806,nsw,19690222.0,5490038
rec-1978-org,eva,hand,clare dennis avenue,padgee,north st ives,4068,qld,19810622.0,9709613
rec-1006-org,sam,bentham,narran street,lake chatsworth,westlake,2036,vic,,8928819
rec-841-org,jett,ryan,hansen circuit,strathmore vineyard,armidale,2261,wa,19930310.0,6151421
rec-319-org,,mccarthy,castleton crescent,north avenue,torquay,2035,nsw,19390515.0,4754971
rec-868-org,jordan,stubbs,walker crescent,blue hills,closeburn,3350,wa,19110311.0,7090961
rec-1159-org,alexandra,petersen,tindale street,oakdale,forrestfield,2287,vic,19320810.0,9411786
rec-1430-org,charlotte,mazurek,towns crescent,arcadia,yagoona,2222,wa,19530128.0,6767692
rec-1526-org,thomas,dolan,tewksbury circuit,earl haven,birkdale,3911,nsw,19210716.0,2014032
rec-1553-org,bianca,havelberg,lavery place,summer hill,mackay north,4220,wa,19670523.0,1895447
rec-291-org,oliver,pinny,groveland crescent,littledale,boondall,2565,nsw,19450830.0,6490321
rec-1054-org,natalia,donaldson,studley street,ferngully,hawthorn,2207,vic,19610927.0,4846388
rec-965-org,ciaran,nguyen,woollum street,moline village,berwick,6157,qld,19860814.0,9056035
rec-1928-org,william,chandler,knox street,rowethorpe,bongaree,2147,qld,19190514.0,5929018
rec-1398-org,corie,hyland,spowers circuit,,tweed heads,5084,vic,19570810.0,3236512
rec-1783-org,stephanie,blackney,,mayfair,briar hill,3139,vic,19090220.0,9157975
rec-70-org,mason,worsley,waratah street,st francis vlge,bull creek,3401,nsw,19660827.0,4225051
rec-323-org,bethany,cochrane,scott street,the willows,pennant hills,3160,vic,19230122.0,9211271
rec-1621-org,kyle,minards,beetaloo street,old post office,downer,3996,wa,19180430.0,9745200
rec-1436-org,ryleh,laundy,robinson street,hgp,lake haven,6005,vic,19880308.0,9364898
rec-1772-org,jarrod,clarke,guthridge crescent,lyra park,moama,3011,qld,19070418.0,3612563
rec-627-org,andrew,langrehr,chippindall circuit,sleepy pines,caves beach,3125,nsw,19000129.0,8095334
rec-1894-org,liam,shoben,sheehy street,part sect 231,kardinya,3182,qld,19220917.0,4177703
rec-76-org,james,blake,barraclough crescent,homesite 3,nicholls,4215,vic,19820712.0,8720481
rec-1771-org,sarah,large,reveley crescent,mountain view ret,bomaderry,3216,wa,19590207.0,5784875
rec-952-org,john,banelis,sexton street,glenhurst,auburn,3140,vic,19981006.0,8328210
rec-1216-org,alexandra,rohleder,kurrama close,albion grove,kilmore,4218,sa,19260609.0,4210279
rec-1647-org,taliah,millar,mayfield hill street,the blackhut,willetton,2150,vic,19980429.0,5679277
rec-230-org,emiily,brummer-archer,mackenzie street,sunbury,salisbury heights,2121,wa,19670203.0,5628066
rec-687-org,zarran,weaver,ainsworth street,,wyoming,2441,tas,19161121.0,6514677
rec-1297-org,emiily,green,brebner street,,bongaree,3340,vic,19380625.0,3643883
rec-275-org,,stolz,dixson circuit,marella,parmelia,4655,vic,19630105.0,7233680
rec-474-org,mikayla,lowe,gellibrand street,jeir park,vincentia,6152,nsw,19071218.0,2642175
rec-887-org,seth,de bono,de lissa street,aldersyde estate,elsternwick,2280,vic,19340213.0,2768343
rec-657-org,jazz,,hambidge crescent,the bight,angurugu,4170,vic,19390731.0,7164553
rec-974-org,brigette,snoad,chandler street,on river,wangaratta,5690,nsw,19880703.0,5625214
rec-125-org,silas,webb,jacka crescent,shopping centre,nambour,4306,vic,19580212.0,7373672
rec-1255-org,erin,kerslake,daintree crescent,mountain view village,woy woy,2026,nsw,19910805.0,5753438
rec-1144-org,alexander,mason,ellenborough street,flinders place,windsor,2320,wa,19360210.0,9589876
rec-81-org,cooper,felten,masters place,amherst village,greensborough,2250,qld,19290422.0,3396780
rec-744-org,talia,leong,mortimer lewis drive,westbury,annandale,2166,sa,19900603.0,2598651
rec-1497-org,connor,hampton-smith,clancy street,kindilan,clare,2111,wa,19100907.0,5476174
rec-1036-org,amber,held,lampard circuit,emerald garden,golden bay,2447,vic,19510806.0,3710651
rec-1655-org,emma,papp-horvath,appel crescent,glen-moria,allambie,2222,nsw,19620713.0,5409983
rec-1571-org,amy,allard,follett street,oakmont,penshurst,2121,vic,19931107.0,9211342
rec-957-org,caitlin,gallirhir,lanley square,cashbar,rochedale south,2790,sa,19770108.0,3809831
rec-432-org,andrew,gilbertson,anembo street,apt 312 the rock wall,nedlands,4702,nsw,19460513.0,1862712
rec-393-org,madison,everett,,rosedale,elizabeth vale,2040,wa,19880202.0,7155522
rec-1863-org,rosie,coleman,lyttleton crescent,cranbrook,plumpton,4610,nsw,19900221.0,1571899
rec-338-org,jared,tiller,anthony rolfe street,ellerside,oatlands,2630,sa,19850318.0,1712834
rec-1482-org,jayden,white,schwarz place,the swamp,lower templestowe,4650,nsw,19020807.0,5384541
rec-981-org,benedict,coleman,summerville crescent,huntawyle,avondale heights,4560,wa,19380327.0,1480351
rec-572-org,cassandra,leonardi,clarkson street,yandar ms 582,ringwood,2281,nsw,19030404.0,2485158
rec-614-org,meg,lowry,elvire place,bowen park,kangaroo flat,4568,vic,19891025.0,2155627
rec-1585-org,cameron,clarke,fihelly street,skerman chambers,,2100,nsw,19821218.0,1553578
rec-524-org,xavier,david,mcluckie crescent,glenbrae,murdoch,3143,sa,19320323.0,8644609
rec-1672-org,james,vincent,cumpston place,pacific palms caravn park,capertee,3350,nsw,19620905.0,3977077
rec-570-org,louis,walpole,stretton crescent,kokoda hostel,campbelltown,5084,nsw,19160913.0,7894388
rec-1562-org,finn,hope,mather street,pinewood,lakes entrance,5700,nsw,19190225.0,4390315
rec-1287-org,ellorah,baillie,gascoyne circuit,,,2289,nsw,19640610.0,5488100
rec-1801-org,harry,peachey,george street,wirreanda vlge,huonbrook,3194,sa,19760829.0,7814989
rec-672-org,matthew,sunderland,max henry crescent,tigers hill,banks,4152,nsw,19190521.0,5343886
rec-1797-org,michael,liersch,hallstrom circuit,lazy acres,northampton,4405,nsw,19360816.0,8185284
rec-1949-org,harvey,shepherdson,lumholtz place,maranui,roleystone,6430,qld,19711002.0,3919359
rec-344-org,molly,schumann,doonkuna street,scottsdale,cleveland,6066,sa,19961030.0,6211905
rec-1373-org,katie,mort,macquarie street,sorrento,paradise waters,3130,nsw,19630728.0,2683980
rec-329-org,lily,hoang,harpur street,robgill farm,camden,2444,wa,19621226.0,6810521
rec-341-org,daniel,kluske,hawkesbury crescent,triton units,oakhurst,3175,nsw,19820727.0,7413438
rec-1979-org,,hyland,carter crescent,river bend,lower templestowe,4014,sa,19401030.0,7995432
rec-197-org,grace,morrison,quinlivan crescent,greengrove,caulfield north,4120,vic,19460909.0,3999669
rec-723-org,jean-claude,white,noel ryan garden,bowillia court,glengowrie,7018,nsw,19400918.0,9764411
rec-1948-org,natassia,blake,kathner street,watgania,batemans bay,7004,act,19000911.0,8022390
rec-1281-org,liam,krasioukova,ebenezer street,ardrossan,malvern,4034,tas,19150503.0,3712942
rec-1024-org,takeisha,freeborn,suttor street,the groves street,wentworth falls,4615,vic,19620206.0,8111362
rec-1359-org,dean,hilton,mannheim street,riverbourne,devonport,2286,nsw,19450428.0,9281954
rec-228-org,thomas,collier,glynn street,stonehenge,eden,2617,vic,19100919.0,4514118
rec-1357-org,jordan,green,gamburra street,john flynn medical centre,eden hills,6055,nsw,,3646581
rec-127-org,sophie,nguyen,belmore garden,palm lake resort,cooran,6083,qld,19960316.0,7719700
rec-120-org,caitlin,quill,mount vernon drive,ulah,plumpton,2705,vic,19880519.0,9429371
rec-83-org,freya,harslett,lilley street,spring creek,toormina,2615,tas,19950228.0,3045942
rec-759-org,samuel,green,blackman crescent,rainbow downs,ormond,810,nsw,19020601.0,3852267
rec-522-org,xavier,white,o'hagan street,willow wood,mill park,2232,vic,19900219.0,7199319
rec-827-org,matilda,fokeas,wallaroo road,iron shoe lodge,wantirna,3028,nsw,19830104.0,4406459
rec-1686-org,alexandra,ferris,gledden street,mount beevor,tatura,3658,nsw,19790807.0,7258596
rec-1969-org,maliah,rickett,sinclair street,brumby's run,salisbury east,3070,nsw,19040824.0,3712385
rec-1129-org,liam,campbell,solomon crescent,,bangor,3073,wa,19830411.0,1726945
rec-514-org,blake,seppelt,dobell circuit,entry daniels s street,crookwell,3108,vic,19950923.0,5169804
rec-1827-org,holly,lock,charteris crescent,arrow park,bateman,2151,vic,19830510.0,6133226
rec-1004-org,tayla,green,kambalda crescent,ambervale,bonville,2905,vic,19310715.0,2230673
rec-1388-org,nicola,collier,schaffer place,mt sturt,sheidow park,2089,nsw,19420623.0,8536431
rec-1515-org,indiana,ryan,brimage place,dudley specialist medical centre,kangaroo flat,3193,nsw,19770224.0,8553719
rec-505-org,samuel,stephenson,hirschfeld crescent,bandicoot ridge,north ryde,4425,vic,19970715.0,8717077
rec-42-org,matilda,kovacic,hawker street,kilvinton village,kangaroo flat,2611,vic,19760510.0,2724779
rec-1471-org,amy,fatale,diamond street,mount sandiman,eastwood,2060,vic,19210527.0,6704141
rec-1616-org,joshua,,david street,,long jetty,6630,nsw,19410614.0,7166687
rec-823-org,nicole,bridgeland,mctaggart crescent,moama,hamilton,6069,nsw,,6831450
rec-1001-org,casey,pacey,officer crescent,ken hunter lodge,carlingford,6105,wa,19220930.0,1859104
rec-1995-org,george,ferrar,ballumbir street,rich meadows,highgate,4558,nsw,19510224.0,8454781
rec-1132-org,mitchell,waller,brewster place,osborne house,toowoomba,4740,sa,19371230.0,3773290
rec-442-org,connor,bishop,mackinnon street,jarrah,aspley,6052,nsw,19200417.0,8870167
rec-1298-org,tenille,swiggs,verbrugghen street,gallagher hse,artarmon,7300,qld,19730510.0,6436926
rec-370-org,josephine,green,merv waite street,coaling,condell park,2750,vic,19510121.0,3172909
rec-1009-org,alex,kranz,ogden close,aintree,kirribilli,5290,vic,19951022.0,8620763
rec-1692-org,sean,shepherd,beazley crescent,tintagel,broadford,4067,act,19561005.0,2726910
rec-1027-org,nathan,smallacombe,guthridge crescent,red cross units,sandy bay,6056,sa,19241223.0,7522263
rec-1457-org,karli,millar,bonney street,st francis vlge,preston,4814,vic,19730813.0,3731194
rec-1873-org,samuel,rosa,parsons street,wyuna,mittagong,2551,nsw,19560724.0,9531130
rec-434-org,connor,moody,ballumbir street,pontresina,wallsend,3243,sa,19841213.0,2509729
rec-481-org,edward,daloia,geeves court,john flynn medical centre,frankston,2146,vic,19260410.0,9952484
rec-833-org,william,furness,dexter street,strenarea,westmeadows,4568,sa,19021005.0,6115098
rec-1365-org,solomon,abourjeili,ellerston avenue,southern cross,attwood,3044,vic,19551019.0,8381808
rec-1632-org,sam,stephenson,geeves court,mossburn,logan reserve,4160,qld,19300207.0,7577085
rec-1824-org,nathan,coffey,chipperfield circuit,larnach,jan juc,4152,sa,19661029.0,6450962
rec-1707-org,,gillard,matina street,sun city resort,ascot park,4107,wa,19760203.0,9419843
rec-716-org,kira,terend,barada crescent,,dulwich hill,2529,nsw,19250222.0,3054502
rec-1588-org,blade,crossman,rocklands street,hazelwood garden,highton,3996,vic,19490414.0,4302040
rec-1424-org,hannah,carbone,officer crescent,wellshot,blackmans bay,2227,vic,19090326.0,1948811
rec-555-org,samuel,shepherd,nichols street,yarramac,moranbah,2659,qld,,7108333
rec-812-org,jacob,tromp,jansz crescent,,palmerston,2528,vic,19900225.0,4952852
rec-66-org,max,morrison,yanda street,arlington,moonta,2024,qld,19810825.0,6404764
rec-1694-org,michael,wuchatsch,meehan garden,medical centre,dianella,4700,wa,19190110.0,1614304
rec-707-org,amelia,struck,winser crescent,pangani,coffs harbour,2250,vic,19640311.0,7848066
rec-232-org,jamie,maynard,sexton street,princetown cottage,yangebup,3025,nsw,19870814.0,9170338
rec-720-org,wil,vincent,slessor crescent,tulliallan,mount isa,2067,nsw,19570306.0,7747820
rec-801-org,briony,dunstone,badham street,attunga orchard,macquarie fields,3190,wa,19340729.0,7461019
rec-309-org,joe,passmore,sullivan crescent,homestead caravn park,mullewa,2502,nsw,19680729.0,1825863
rec-1602-org,stephanie,white,tambo street,dunfield park,eight mile plains,3751,nsw,19460625.0,9261342
rec-1114-org,dante,campbell,scantlebury crescent,,rochester,3011,sa,19570319.0,7815398
rec-1994-org,aidan,belperio,charlton crescent,openshaw,st clair,4508,nsw,19720503.0,1268692
rec-114-org,lachlan,everett,owen dixon drive,lansdowne,yarrawonga,5290,nsw,19260926.0,3722526
rec-259-org,paris,rudd,la perouse street,yellow dam,mirboo north,2452,wa,19471029.0,7004314
rec-1279-org,jordan,white,yerra court,,leichhardt,2155,wa,19371126.0,3380323
rec-631-org,marcus,reid,geils court,cambri vlge,naremburn,6020,nsw,19400624.0,3592731
rec-1421-org,thomas,milburn,sheehy street,witsend,kilcoy,6153,sa,19080629.0,6861021
rec-296-org,emiily,richmond,kalgoorlie crescent,peppertree,lilydale,3031,nsw,19590607.0,5444497
rec-1123-org,oliver,pennell,hardman street,t int-sect garden,cranbourne,2830,nsw,19880825.0,9401054
rec-1379-org,oliver,salt,mcmillan crescent,halls of residence monash university,coffs harbour,7310,qld,19311218.0,7369494
rec-968-org,ryan,matthews,leist street,clarence chambers,torquay,3549,wa,19330505.0,6234085
rec-623-org,callum,camens,latchford street,northwest medical centre,cloverdale,2481,tas,19810925.0,5181189
rec-848-org,phoebe,berryman,badimara street,garden est,toronto,3146,qld,19241130.0,3676248
rec-1251-org,chloe,crossman,shenton crescent,sec 209 clifton farm,south melbourne,2324,vic,19680424.0,5536009
rec-116-org,carly,hage,tasmania circle,palm lake resort,queenscliff,2121,wa,19710623.0,3938642
rec-547-org,thomas,pegg,bath place,fourways,irwin,3931,nsw,19980508.0,2265577
rec-1784-org,matthew,humphreys,adamson crescent,villa 2,mannum,3942,nsw,19770818.0,9283013
rec-861-org,natasha,rizzo,aspinall street,locn 105,stanhope gardens,2770,vic,19950211.0,3892183
rec-1520-org,jack,morcom,schomburgk street,warrumbungle,villawood,3018,tas,19800912.0,9689848
rec-440-org,connor,kang,castles place,glennhill,dunsborough,3228,vic,19630915.0,6049682
rec-103-org,briony,koerbin,violet grover place,wybelanah,mill park,2446,nsw,19210210.0,3808808
